category_id,category
1,ソニー関連
2,コミュニティ活動・イベント関連
3,未来をつなぐ
4,経済の未来
5,ビジネスをデザインする
6,多様性を受け入れる・共存する
7,社会課題を解決する
8,ポストヒューマン・遠い未来・テクノロジー
9,ノンヒューマン
10,息抜きのレッスン
11,働き方をデザインする
12,ゆるやかな関係性を築く・コミュニティ
13,考える
14,学びの質を高める
15,技術書籍
16,研修
17,電子機器
18,コミュニティ
19,文喫セレクション
20,海外書籍
