category_id,category
1,アウトドア
2,脱人間中心主義
3,散歩・観察
4,自然医療(身体）
5,好奇心を育てる
6,小さなクリエイティビティ
7,柔らかな発想
8,遊び
9,多様性を受け入れる・共存
10,知識の実用化
11,映像
12,映画
13,写真
14,音声
15,科学医療
16,感覚のコントロール
17,使う人に寄り添う思考
18,珈琲
19,研修
20,電子機器
21,コミュニティ
22,ソニー関連書籍
23,コミュニティ活動・イベント関連
24,技術書籍
25,工房
26,KOUBOU
27,WAGON
