instance_id,isbn,hit_ndl_search,locate_now,locate_init,count_lent,own_category_id
190930_143650,9784797342437,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
190930_143701,9784894713284,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_143750,9784087205008,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_144126,9784582855661,TRUE,HQ-7F-W07,HQ-7F-W07,0,9
190930_144138,9784062722681,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
190930_144148,9784087203981,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_144200,9784087208009,TRUE,ATG-105G-5F,HQ-7F-W07,0,3
190930_144210,9784022731791,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
190930_144225,9784121017475,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
190930_144235,9784106100116,TRUE,ATG-105G-5F,HQ-7F-W07,0,3
190930_144247,9784087207491,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
190930_144257,9784004304623,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_144814,9784121502490,TRUE,HQ-7F-W07,HQ-7F-W07,0,9
190930_144826,9784413040266,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_144841,9784007001017,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
190930_144854,9784087202632,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_144923,9784396114633,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_113025,9784820714200,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191001_113305,9784532195045,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191001_113348,9784415069548,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191001_113423,9784532191450,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191001_113451,9784062564939,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191001_113536,9784087205923,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_113612,9784166609741,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191001_113643,9784808308926,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191001_113726,9784413041188,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_113915,9784569539485,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191001_114038,9784896916409,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_155257,9784004308911,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_155318,9784781680132,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191001_155356,9784532260538,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191001_155416,9784121016706,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_155450,9784569709840,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191001_155510,9784166603756,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191001_155520,9784413040495,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191001_155534,9784061494367,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_155547,9784121023032,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_155614,9784569556727,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191001_155625,9784569657714,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191001_155638,9784004307488,TRUE,HQ-7F-W07,HQ-7F-W07,1,1
191001_161940,9784061495548,TRUE,HQ-7F-W07,HQ-7F-W07,1,3
191001_162131,9784062880558,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191001_162157,9784022735393,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191001_162210,9784106104848,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191001_162548,9784334033682,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191001_162710,9784837972648,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191001_163011,9784774109336,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191001_163024,9784774165226,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191001_163046,9784816330889,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191001_163130,9784048836333,TRUE,HQ-7F-W07,HQ-7F-W07,1,6
191001_163207,9784121022790,TRUE,HQ-7F-W07,HQ-7F-W07,1,2
191001_163246,9784121017505,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191001_163306,9784098250097,TRUE,ATG-105G-5F,HQ-7F-W07,0,3
191001_163335,9784166605422,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191001_163346,9784480064585,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191001_163400,9784047101692,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191001_163410,9784022734815,TRUE,ATG-105G-5F,HQ-7F-W07,0,3
191001_163432,9784838781430,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191001_163441,9784062729154,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191001_163451,9784492533765,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191001_163503,9784797372670,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191001_163514,9784121024176,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191001_163522,9784140885031,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191001_163531,9784584123508,TRUE,ATG-105G-5F,HQ-7F-W07,0,4
191001_163541,9784569819082,TRUE,ATG-105G-5F,HQ-7F-W07,0,5
191004_085427,9784061155053,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_100213,9784480063380,TRUE,HQ-7F-W07,HQ-7F-W07,1,3
191007_100529,9784408112053,TRUE,HQ-7F-W07,HQ-7F-W07,1,2
191007_100750,9784582856026,TRUE,HQ-7F-W07,HQ-7F-W07,1,2
191007_100821,9784004315063,TRUE,HQ-7F-W07,HQ-7F-W07,1,7
191007_100932,9784140882863,TRUE,HQ-7F-W07,HQ-7F-W07,1,1
191007_101029,9784121024312,TRUE,HQ-7F-W07,HQ-7F-W07,1,3
191007_101109,9784569816203,TRUE,HQ-7F-W07,HQ-7F-W07,1,3
191007_101142,9784062720045,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_101215,9784344983311,TRUE,HQ-7F-W07,HQ-7F-W07,0,9
191007_101412,9784413090100,TRUE,HQ-7F-W07,HQ-7F-W07,0,9
191007_101453,9784004313694,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_101543,9784839950910,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_101701,9784883353309,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191007_101737,9784087202670,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_101818,9784121023575,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_101844,9784827204186,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_101909,9784087207873,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_101938,9784121018861,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_102009,9784140880715,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_102110,9784004310372,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_102136,9784103955061,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191007_102307,9784761256029,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_102651,9784820708791,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_102839,9784822223069,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_103012,9784532314071,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_103126,9784757122635,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_103223,9784861301537,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191007_103333,9784492443811,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_103446,9784140815458,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_103534,9784495598112,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
191007_103607,9784087806496,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_103649,9784492531624,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_103711,9784502966804,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_103754,9784860631758,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191007_103858,9784106100864,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191007_104216,9784837978831,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191007_104613,9784837975465,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191007_104702,9784062748131,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_104809,9784054045804,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191007_104846,9784022731500,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191007_104919,9784062883047,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_105031,9784478054109,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191007_105113,9784415401416,TRUE,HQ-7F-W07,HQ-7F-W07,0,4
191007_105144,9784334033798,TRUE,ATG-105G-5F,HQ-7F-W07,3,7
191007_105219,9784569701127,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_105441,9784093884815,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_105513,9784492045084,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_105934,9784396112806,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
191007_112717,9784837978473,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_112753,9784062728140,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_112836,9784062722797,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_112934,9784121505781,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_112958,9784584123645,TRUE,HQ-7F-W07,HQ-7F-W07,0,9
191007_113021,9784334032555,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_113041,9784106101564,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191007_113104,9784062724791,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191007_113132,9784344982727,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_113159,9784408337319,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
191007_113217,9784054037243,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_113233,9784334032890,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
191007_113307,9784022734716,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_113552,9784004308188,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
191007_113725,9784480062857,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
191007_113750,9784569815206,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
191007_113813,9784763133717,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
